ID,Group ID,Status,Created,Last Updated,Check In,Check Out,Room,,Nights,Guest,Booking,,Fees,Total,Paid,Owing,,,Booking Source
B63PG,-,Checked Out,28/12/2023 21:54,28/12/2023 21:54,20/02/2023 15:00,11/5/2023 10:30,Rm 8,,80 Nights,715,2400,,0,2400,0,2400,,,DCC
B63PE,-,Checked Out,28/12/2023 21:49,2/1/2024 23:48,5/4/2023 15:00,6/4/2023 10:30,Rm 9,,1 Night,716,30,,0,30,0,30,,,DCC
B63PD,-,Checked Out,28/12/2023 21:45,2/1/2024 23:12,10/5/2023 15:00,16/08/2023 10:30,Rm 5,,98 Nights,717,2940,,0,2940,0,2940,,,DCC
B63PC,-,Checked Out,28/12/2023 21:43,28/12/2023 21:43,9/5/2023 15:00,10/5/2023 10:30,Rm 3,,1 Night,718,30,,0,30,0,30,,,DCC
B63PB,-,Checked Out,28/12/2023 21:41,28/12/2023 21:41,2/5/2023 15:00,8/5/2023 10:30,Rm 5,,6 Nights,719,180,,0,180,0,180,,,DCC
B63PA,-,Checked Out,28/12/2023 21:39,28/12/2023 21:39,25/04/2023 15:00,5/5/2023 10:30,Rm 3,,10 Nights,720,300,,0,300,0,300,,,DCC
B5RUL,-,Checked Out,10/8/2023 22:07,2/1/2024 23:22,8/8/2023 15:00,21/08/2023 10:30,Rm 8,,13 Nights,721,390,,0,390,0,390,,,DCC
B5RUK,-,Checked Out,10/8/2023 22:05,10/8/2023 22:05,31/07/2023 15:00,2/8/2023 10:30,Rm 8,,2 Nights,722,60,,0,60,0,60,,,DCC
B5RUG,-,Checked Out,10/8/2023 21:57,28/12/2023 21:33,17/04/2023 15:00,28/04/2023 10:30,Rm 5,,11 Nights,723,0,,0,0,0,0,,,DCC
B5RUE,-,Checked Out,10/8/2023 21:54,10/8/2023 21:54,31/03/2023 15:00,5/4/2023 10:30,Rm 9,,5 Nights,724,150,,0,150,0,150,,,DCC
B5RUD,-,Checked In,10/8/2023 21:52,2/1/2024 23:13,27/03/2023 15:00,31/01/2024 10:30,Rm 7,,310 Nights,725,3900,,0,3900,0,3900,,,DCC
B5RU9,-,Checked Out,10/8/2023 21:47,10/8/2023 21:47,13/03/2023 15:00,28/03/2023 10:30,Rm 9,,15 Nights,726,450,,0,450,0,450,,,DCC
B5RU6,-,Checked Out,10/8/2023 21:42,28/12/2023 22:06,6/3/2023 15:00,20/05/2023 10:30,Rm 6,,75 Nights,727,2250,,0,2250,0,2250,,,DCC
