Check In,Forecasted_Total
2022-06-12,1.3845013104882793
2022-06-19,0.08057783813770618
2022-06-26,4.333698855973047
2022-07-03,0.23751371357183107
2022-07-10,-0.07272751219977705
2022-07-17,0.4891745678721556
2022-07-24,0.7441854605859778
2022-07-31,0.4164416860239065
2022-08-07,1.3286671685228968
2022-08-14,0.44266606307742074
2022-08-21,1.3398736536902107
2022-08-28,2.3366926425515624
2022-09-04,1.1283436091538057
2022-09-11,-0.03320639300556441
2022-09-18,3.683663432104227
2022-09-25,0.39707577386251647
2022-10-02,0.23001671894660589
2022-10-09,0.21961822193099445
2022-10-16,1.467270341721491
2022-10-23,0.8465349510734614
2022-10-30,1.9149753707074937
2022-11-06,0.32404242027567187
2022-11-13,0.9409731138970959
2022-11-20,1.4997850950112692
2022-11-27,1.0880911953165975
2022-12-04,-0.03394846214586023
2022-12-11,4.497289193550878
2022-12-18,0.2280619460598885
2022-12-25,0.10160986979296482
2023-01-01,0.16119665202333816
2023-01-08,1.216368208075496
2023-01-15,0.5054319822796971
2023-01-22,1.863985052073991
2023-01-29,0.5485705570601503
2023-02-05,1.3243748009630052
2023-02-12,1.7498930395984635
2023-02-19,1.1816889654690441
2023-02-26,-0.003901085042697351
2023-03-05,4.344213334329301
2023-03-12,0.24396080607520912
2023-03-19,0.05301064062715387
2023-03-26,0.2704959594976299
2023-04-02,1.084654964988796
2023-04-09,0.5104812550460223
2023-04-16,1.6896713290692906
2023-04-23,0.48469698699251745
2023-04-30,1.2827715517191194
2023-05-07,1.9116987011123396
2023-05-14,1.1508499637934513
2023-05-21,-0.019379560397093126
2023-05-28,4.141988305283709
2023-06-04,0.2905422436107781
